key,tourn,round,player.id,match.id,seed,seeded,name,Sets.Played,Tie.Breaks.Played,Total.Games,Winners,Return.Games.Won,Server.Points.Won,Total.Points,First.Serves.In,Total.Aces,Total.Double.Faults,First.Serve.Pts.Won,Pct.1stt.Serve.In,Unforced.Errors,Winning.Pct.on.1st.Serve,Winning.Pct.on.2nd.Serve,Receiving.Points.Won,Break.Point.Conversions,Net.Approaches,Total.Points.Won,Fastest.Serve.Speed,Average.1st.Serve.Speed,Average.2nd.Serve.Speed,W.UE,RPW.TPW,W.minus.Aces,SPW.TPW,match.type,year,won
2129.AUS.2012,AUS,1,310419,2129,0,Not Seeded,Galina Voskoboeva,2,0,20,5,4,40,64,28,5,0,23,49,0,82,59,44,67,NA,64,NA,NA,NA,Inf,0.6875,0,0.625,2,1,1
2147.AUS.2012,AUS,1,310431,2147,0,Not Seeded,Mandy Minella,2,0,14,1,1,17,34,26,1,2,10,57,2,38,35,37,33,NA,34,NA,NA,NA,0.5,1.088235294,0,0.5,2,1,0
2162.AUS.2012,AUS,1,310494,2162,0,Not Seeded,Aleksandra Wozniak,2,0,18,19,5,35,72,32,3,4,24,56,19,75,44,52,50,80,72,104.390328,93.827021,82.642343,1,0.722222222,16,0.486111111,2,1,1
2105.AUS.2012,AUS,1,310553,2105,24,Seeded,Lucie Safarova,2,0,18,2,0,31,46,38,2,1,24,75,1,63,54,27,0,NA,46,NA,NA,NA,2,0.586956522,0,0.673913043,2,1,0
2161.AUS.2012,AUS,1,310577,2161,27,Seeded,Maria Kirilenko,2,0,18,11,3,45,67,37,2,6,28,55,14,76,57,43,100,62,67,104.390328,93.20565,80.156859,0.785714286,0.641791045,9,0.671641791,2,1,1
2155.AUS.2012,AUS,1,310623,2155,0,Not Seeded,Anna Chakvetadze,2,0,15,13,0,22,33,25,3,4,15,54,32,60,33,25,0,100,33,100.662102,89.477424,78.292746,0.40625,0.757575758,10,0.666666667,2,0,0
2164.AUS.2012,AUS,1,310625,2164,0,Not Seeded,Vera Dushevina,2,0,14,7,1,17,32,23,2,3,10,50,19,43,30,33,50,50,32,110.604038,103.768957,80.156859,0.368421053,1.03125,5,0.53125,2,1,0
2126.AUS.2012,AUS,1,310626,2126,0,Not Seeded,Anastasiya Yakimova,2,0,17,2,2,27,47,30,2,6,11,48,6,37,48,39,100,NA,47,NA,NA,NA,0.333333333,0.829787234,0,0.574468085,2,1,0
2118.AUS.2012,AUS,1,310730,2118,0,Not Seeded,Casey Dellacqua,2,0,17,21,7,33,67,39,1,2,23,67,23,59,53,62,78,100,67,96.933876,88.856053,78.292746,0.913043478,0.925373134,20,0.492537313,2,1,1
2151.AUS.2012,AUS,1,310761,2151,0,Not Seeded,Sara Errani,2,0,15,0,6,27,55,31,0,0,20,78,0,65,78,58,67,NA,55,NA,NA,NA,NA,1.054545455,0,0.490909091,2,1,1
2104.AUS.2012,AUS,1,310775,2104,31,Seeded,Monica Niculescu,3,0,27,39,9,59,119,61,0,2,35,56,36,57,51,55,50,65,119,102.526215,86.370569,64.622584,1.083333333,0.462184874,39,0.495798319,2,1,1
2134.AUS.2012,AUS,1,310849,2134,0,Not Seeded,Lucie Hradecka,2,0,16,6,4,30,61,22,6,2,19,50,2,86,50,55,36,NA,61,NA,NA,NA,3,0.901639344,0,0.491803279,2,1,1
2130.AUS.2012,AUS,1,311041,2130,0,Not Seeded,Tsvetana Pironkova,2,0,18,18,6,38,73,38,2,1,21,56,30,55,57,56,40,60,73,106.254441,96.312505,78.292746,0.6,0.767123288,16,0.520547945,2,1,1
2114.AUS.2012,AUS,1,311044,2114,0,Not Seeded,Patricia Mayr-Achleitner,2,0,18,0,2,28,46,41,0,3,20,71,3,49,47,35,50,NA,46,NA,NA,NA,0,0.760869565,0,0.608695652,2,0,0
2142.AUS.2012,AUS,1,311168,2142,0,Not Seeded,Shahar Peer,2,0,14,0,5,33,57,39,0,2,32,80,2,82,10,57,71,NA,57,NA,NA,NA,0,1,0,0.578947368,2,1,1
2146.AUS.2012,AUS,1,311220,2146,0,Not Seeded,Elena Vesnina,3,0,27,4,6,49,94,55,4,1,29,62,1,53,59,49,46,NA,94,NA,NA,NA,4,0.521276596,0,0.521276596,2,1,1
2114.AUS.2012,AUS,1,311243,2114,0,Not Seeded,Olga Govortsova,2,0,18,1,5,33,63,33,1,3,25,65,3,76,44,52,45,NA,63,NA,NA,NA,0.333333333,0.825396825,0,0.523809524,2,1,1
2163.AUS.2012,AUS,1,311338,2163,0,Not Seeded,Carla Suarez,2,0,19,0,8,37,74,44,0,4,23,61,4,52,50,65,57,NA,74,NA,NA,NA,0,0.878378378,0,0.5,2,1,1
2103.AUS.2012,AUS,1,311362,2103,0,Not Seeded,Alla Kudryavtseva,3,0,30,2,4,45,83,40,2,4,23,48,4,57,51,40,36,NA,83,NA,NA,NA,0.5,0.481927711,0,0.542168675,2,0,0
2145.AUS.2012,AUS,1,311470,2145,30,Seeded,Angelique Kerber,2,0,16,21,4,35,58,30,6,2,24,61,16,80,58,49,67,67,58,102.526215,93.827021,73.943149,1.3125,0.844827586,15,0.603448276,2,1,1
2143.AUS.2012,AUS,1,311493,2143,0,Not Seeded,Silvia Soler-Espinosa,2,0,18,2,1,36,56,32,2,2,20,44,2,63,40,34,100,NA,56,NA,NA,NA,1,0.607142857,0,0.642857143,2,1,0
2158.AUS.2012,AUS,1,311550,2158,0,Not Seeded,Vania King,2,1,22,1,4,46,80,53,1,1,33,74,1,62,68,45,33,NA,80,NA,NA,NA,1,0.5625,0,0.575,2,1,1
2159.AUS.2012,AUS,1,311578,2159,0,Not Seeded,Michaella Krajicek,2,1,22,2,3,50,79,33,2,6,23,44,6,70,64,41,60,NA,79,NA,NA,NA,0.333333333,0.518987342,0,0.632911392,2,1,1
2136.AUS.2012,AUS,1,311593,2136,0,Not Seeded,Johanna Larsson,2,0,18,2,2,27,47,34,2,1,16,63,1,47,55,35,33,NA,47,NA,NA,NA,2,0.744680851,0,0.574468085,2,0,0
2135.AUS.2012,AUS,1,311604,2135,0,Not Seeded,Ekaterina Makarova,3,0,20,16,7,34,76,38,3,1,25,67,39,66,47,56,50,75,76,103.768957,96.312505,70.836294,0.41025641,0.736842105,13,0.447368421,2,1,1
2160.AUS.2012,AUS,1,311710,2160,21,Seeded,Ana Ivanovic,2,0,15,32,4,33,64,32,4,0,29,71,22,91,31,53,40,62,64,108.118554,100.662102,86.370569,1.454545455,0.828125,28,0.515625,2,1,1
2162.AUS.2012,AUS,1,311779,2162,0,Not Seeded,Shuai Zhang,2,0,18,22,2,34,56,50,3,8,31,70,30,62,14,39,40,40,56,104.390328,88.856053,75.807262,0.733333333,0.696428571,19,0.607142857,2,0,0
2124.AUS.2012,AUS,1,311791,2124,0,Not Seeded,Aravane Rezai,2,0,19,23,2,34,57,35,4,6,25,55,33,71,31,36,33,67,57,106.875812,89.477424,77.671375,0.696969697,0.631578947,19,0.596491228,2,0,0
2117.AUS.2012,AUS,1,312001,2117,3,Seeded,Victoria Azarenka,2,0,13,15,6,27,56,23,0,5,19,59,15,83,50,60,60,33,56,104.390328,94.448392,78.914117,1,1.071428571,15,0.482142857,2,1,1
2145.AUS.2012,AUS,1,312049,2145,0,Not Seeded,Bojana Bobusic,2,0,16,15,0,24,38,27,3,0,18,57,24,67,30,29,0,75,38,100.662102,95.691134,79.535488,0.625,0.763157895,12,0.631578947,2,0,0
2106.AUS.2012,AUS,1,312086,2106,0,Not Seeded,Marina Erakovic,2,1,25,7,4,51,88,44,7,1,29,52,1,66,54,45,67,NA,88,NA,NA,NA,7,0.511363636,0,0.579545455,2,1,1
2104.AUS.2012,AUS,1,312121,2104,0,Not Seeded,Alize Cornet,3,0,27,36,5,49,98,67,0,5,30,61,54,45,45,45,26,49,98,103.768957,91.341537,74.56452,0.666666667,0.459183673,36,0.5,2,1,0
2132.AUS.2012,AUS,1,312251,2132,8,Seeded,Agnieszka Radwanska,3,1,31,29,7,80,129,90,6,1,62,66,13,69,39,44,54,51,129,103.768957,85.749198,68.972181,2.230769231,0.341085271,23,0.620155039,2,1,1
2141.AUS.2012,AUS,1,312336,2141,0,Not Seeded,Stefanie Voegele,3,0,28,18,4,56,99,61,1,5,37,57,39,61,41,42,27,61,99,103.768957,93.827021,73.321778,0.461538462,0.424242424,17,0.565656566,2,0,0
2149.AUS.2012,AUS,1,312469,2149,0,Not Seeded,Sorana Cirstea,2,1,22,28,5,39,80,41,8,2,27,65,26,66,55,51,42,88,80,109.982667,102.526215,85.749198,1.076923077,0.6375,20,0.4875,2,1,1
2141.AUS.2012,AUS,1,312520,2141,14,Seeded,Sabine Lisicki,3,0,28,39,6,60,111,51,3,6,33,50,55,65,52,48,43,67,111,111.225409,93.20565,80.156859,0.709090909,0.432432432,36,0.540540541,2,1,1
2129.AUS.2012,AUS,1,312536,2129,28,Seeded,Yanina Wickmayer,2,0,20,0,1,30,47,35,0,4,23,65,4,66,37,30,50,NA,47,NA,NA,NA,0,0.638297872,0,0.638297872,2,1,0
2159.AUS.2012,AUS,1,312578,2159,0,Not Seeded,Kristina Barrois,2,1,22,7,2,41,66,47,7,1,27,67,1,57,61,33,67,NA,66,NA,NA,NA,7,0.5,0,0.621212121,2,0,0
