count,sensor,date,time,day,month,high_tmp,low_tmp,high_prcp
1395,Melbourne Central,2013-01-05,22,Sat,Jan,not,not,none
769,Flinders Street Station Underpass,2013-01-05,23,Sat,Jan,not,not,none
1151,Melbourne Central,2013-01-05,23,Sat,Jan,not,not,none
530,Flinders Street Station Underpass,2013-01-06,0,Sun,Jan,not,not,none
849,Melbourne Central,2013-01-06,0,Sun,Jan,not,not,none
276,Flinders Street Station Underpass,2013-01-06,1,Sun,Jan,not,not,none
400,Melbourne Central,2013-01-06,1,Sun,Jan,not,not,none
139,Flinders Street Station Underpass,2013-01-06,2,Sun,Jan,not,not,none
243,Melbourne Central,2013-01-06,2,Sun,Jan,not,not,none
138,Flinders Street Station Underpass,2013-01-06,3,Sun,Jan,not,not,none
187,Melbourne Central,2013-01-06,3,Sun,Jan,not,not,none
59,Flinders Street Station Underpass,2013-01-06,4,Sun,Jan,not,not,none
75,Melbourne Central,2013-01-06,4,Sun,Jan,not,not,none
45,Flinders Street Station Underpass,2013-01-06,5,Sun,Jan,not,not,none
55,Melbourne Central,2013-01-06,5,Sun,Jan,not,not,none
53,Flinders Street Station Underpass,2013-01-06,6,Sun,Jan,not,not,none
43,Melbourne Central,2013-01-06,6,Sun,Jan,not,not,none
91,Flinders Street Station Underpass,2013-01-06,7,Sun,Jan,not,not,none
92,Melbourne Central,2013-01-06,7,Sun,Jan,not,not,none
209,Flinders Street Station Underpass,2013-01-06,8,Sun,Jan,not,not,none
224,Melbourne Central,2013-01-06,8,Sun,Jan,not,not,none
381,Flinders Street Station Underpass,2013-01-06,9,Sun,Jan,not,not,none
416,Melbourne Central,2013-01-06,9,Sun,Jan,not,not,none
759,Flinders Street Station Underpass,2013-01-06,10,Sun,Jan,not,not,none
657,Melbourne Central,2013-01-06,10,Sun,Jan,not,not,none
843,Flinders Street Station Underpass,2013-01-06,11,Sun,Jan,not,not,none
454,Melbourne Central,2013-01-06,11,Sun,Jan,not,not,none
1046,Flinders Street Station Underpass,2013-01-06,12,Sun,Jan,not,not,none
973,Melbourne Central,2013-01-06,12,Sun,Jan,not,not,none
1162,Flinders Street Station Underpass,2013-01-06,13,Sun,Jan,not,not,none
1834,Melbourne Central,2013-01-06,13,Sun,Jan,not,not,none
1250,Flinders Street Station Underpass,2013-01-06,14,Sun,Jan,not,not,none
2179,Melbourne Central,2013-01-06,14,Sun,Jan,not,not,none
1248,Flinders Street Station Underpass,2013-01-06,15,Sun,Jan,not,not,none
2239,Melbourne Central,2013-01-06,15,Sun,Jan,not,not,none
