stn_id,date,variable,value,X5,X6,X7,X8
ASN00086071,20130410,TMAX,248,NA,NA,a,NA
ASN00086071,20130410,TMIN,123,NA,NA,a,NA
ASN00086071,20130410,PRCP,0,NA,NA,a,NA
ASN00086071,20130411,TMAX,184,NA,NA,a,NA
ASN00086071,20130411,TMIN,146,NA,NA,a,NA
ASN00086071,20130411,PRCP,2,NA,NA,a,NA
ASN00086071,20130412,TMAX,251,NA,NA,a,NA
ASN00086071,20130412,TMIN,120,NA,NA,a,NA
ASN00086071,20130412,PRCP,12,NA,NA,a,NA
ASN00086071,20130413,TMAX,243,NA,NA,a,NA
ASN00086071,20130413,TMIN,153,NA,NA,a,NA
ASN00086071,20130414,TMAX,225,NA,NA,a,NA
ASN00086071,20130414,TMIN,164,NA,NA,a,NA
ASN00086071,20130415,TMAX,160,NA,NA,a,NA
ASN00086071,20130415,TMIN,138,NA,NA,a,NA
ASN00086071,20130415,PRCP,72,NA,NA,a,NA
ASN00086071,20130416,TMAX,202,NA,NA,a,NA
ASN00086071,20130416,TMIN,115,NA,NA,a,NA
ASN00086071,20130416,PRCP,4,NA,NA,a,NA
ASN00086071,20130417,TMAX,193,NA,NA,a,NA
ASN00086071,20130417,TMIN,116,NA,NA,a,NA
ASN00086071,20130417,PRCP,0,NA,NA,a,NA
ASN00086071,20130418,TMAX,185,NA,NA,a,NA
ASN00086071,20130418,TMIN,111,NA,NA,a,NA
ASN00086071,20130418,PRCP,10,NA,NA,a,NA
ASN00086071,20130419,TMAX,184,NA,NA,a,NA
ASN00086071,20130419,TMIN,98,NA,NA,a,NA
ASN00086071,20130419,PRCP,48,NA,NA,a,NA
ASN00086071,20130420,TMAX,190,NA,NA,a,NA
ASN00086071,20130420,TMIN,98,NA,NA,a,NA
ASN00086071,20130420,PRCP,0,NA,NA,a,NA
ASN00086071,20130421,TMAX,207,NA,NA,a,NA
ASN00086071,20130421,TMIN,69,NA,NA,a,NA
ASN00086071,20130421,PRCP,0,NA,NA,a,NA
ASN00086071,20130422,TMAX,172,NA,NA,a,NA
ASN00086071,20130422,TMIN,109,NA,NA,a,NA
ASN00086071,20130422,PRCP,12,NA,NA,a,NA
ASN00086071,20130423,TMAX,197,NA,NA,a,NA
ASN00086071,20130423,TMIN,120,NA,NA,a,NA
ASN00086071,20130423,PRCP,36,NA,NA,a,NA
ASN00086071,20130424,TMAX,209,NA,NA,a,NA
ASN00086071,20130424,TMIN,136,NA,NA,a,NA
ASN00086071,20130424,PRCP,0,NA,NA,a,NA
ASN00086071,20130425,TMAX,212,NA,NA,a,NA
ASN00086071,20130425,TMIN,108,NA,NA,a,NA
ASN00086071,20130425,PRCP,0,NA,NA,a,NA
ASN00086071,20130426,TMAX,236,NA,NA,a,NA
ASN00086071,20130426,TMIN,139,NA,NA,a,NA
ASN00086071,20130426,PRCP,24,NA,NA,a,NA
ASN00086071,20130427,TMAX,245,NA,NA,a,NA
ASN00086071,20130427,TMIN,147,NA,NA,a,NA
ASN00086071,20130427,PRCP,0,NA,NA,a,NA
ASN00086071,20130428,TMAX,195,NA,NA,a,NA
ASN00086071,20130428,TMIN,166,NA,NA,a,NA
ASN00086071,20130428,PRCP,0,NA,NA,a,NA
ASN00086071,20130429,TMAX,184,NA,NA,a,NA
ASN00086071,20130429,TMIN,106,NA,NA,a,NA
ASN00086071,20130429,PRCP,0,NA,NA,a,NA
ASN00086071,20130430,TMAX,193,NA,NA,a,NA
ASN00086071,20130430,TMIN,79,NA,NA,a,NA
ASN00086071,20130430,PRCP,0,NA,NA,a,NA
ASN00086071,20130501,TMAX,165,NA,NA,a,NA
ASN00086071,20130501,TMIN,93,NA,NA,a,NA
ASN00086071,20130501,PRCP,0,NA,NA,a,NA
ASN00086071,20130502,TMAX,183,NA,NA,a,NA
ASN00086071,20130502,TMIN,70,NA,NA,a,NA
ASN00086071,20130502,PRCP,18,NA,NA,a,NA
ASN00086071,20130503,TMAX,190,NA,NA,a,NA
